Id,Name,Type,RAh,Dec,Vmag,MajorArcmin,MinorArcmin,PAdeg,SourceCatalog
IC0010,IC0010,galaxy,0.338150,59.303778,11.780,6.760,6.030,129.000,ic
IC0239,IC0239,galaxy,2.607744,38.969917,11.890,4.250,4.010,75.000,ic
IC0342,IC0342,galaxy,3.780139,68.096361,9.680,19.770,18.790,0.000,ic
IC0356,IC0356,galaxy,4.129697,69.812444,11.560,4.020,3.730,90.000,ic
IC0398,IC0398,galaxy,4.970156,-7.780250,10.950,1.180,0.340,2.000,ic
IC0422,IC0422,galaxy,5.538486,-17.223861,10.740,1.040,0.930,130.000,ic
IC0433,IC0433,galaxy,5.675375,-11.665583,10.930,1.420,1.120,138.000,ic
IC0500,IC0500,galaxy,8.211000,-16.050806,10.720,1.770,0.710,54.000,ic
IC0672,IC0672,galaxy,11.134231,-12.484167,11.940,0.750,0.330,155.000,ic
IC1330,IC1330,galaxy,20.770817,-14.023222,11.650,1.250,0.410,109.000,ic
IC1342,IC1342,galaxy,21.007067,-14.495861,11.660,1.080,0.410,74.000,ic
IC1442,IC1442,open_cluster,22.267036,53.991333,9.530,4.200,,,ic
IC1459,IC1459,galaxy,22.952947,-36.462222,10.940,4.610,3.230,43.000,ic
IC1613,IC1613,galaxy,1.079942,2.117778,10.010,18.320,17.140,50.000,ic
IC2157,IC2157,open_cluster,6.079883,24.071028,8.910,2.700,,,ic
IC2163,IC2163,galaxy,6.274439,-21.375861,11.740,3.370,0.950,103.000,ic
IC2375,IC2375,galaxy,8.438797,-13.303139,11.120,2.180,0.350,84.000,ic
IC2379,IC2379,galaxy,8.441056,-13.292861,11.680,0.960,0.490,35.000,ic
IC2391,omi Vel Cluster,open_cluster,8.675522,-53.035472,2.500,29.100,,,ic
IC2395,IC2395,open_cluster,8.708364,-48.150556,4.600,6.000,,,ic
IC2488,IC2488,open_cluster,9.460619,-57.006944,7.400,7.200,,,ic
IC2574,Coddington's Nebula,galaxy,10.473189,68.412139,10.820,12.910,5.570,48.000,ic
IC2581,IC2581,open_cluster,10.458097,-57.617306,4.790,6.000,,,ic
IC2714,IC2714,open_cluster,11.290931,-62.725111,8.200,7.200,,,ic
IC3370,IC3370,galaxy,12.460369,-39.337778,11.990,3.120,2.290,53.000,ic
IC4269,IC4269,galaxy,13.489178,37.623083,11.590,0.460,0.460,85.000,ic
IC4291,IC4291,open_cluster,13.615669,-62.093111,10.300,5.100,,,ic
IC4296,IC4296,galaxy,13.610842,-33.965833,11.570,4.620,2.430,42.000,ic
IC4499,IC4499,globular_cluster,15.005347,-82.213500,8.560,5.100,,,ic
IC4651,IC4651,open_cluster,17.413650,-49.938250,7.760,9.600,,,ic
IC4662,IC4662,galaxy,17.785797,-64.641750,11.800,2.090,0.830,106.000,ic
IC4665,IC4665,open_cluster,17.774217,5.648722,4.490,24.600,,,ic
IC4756,IC4756,open_cluster,18.647642,5.462167,4.960,24.000,,,ic
IC4901,IC4901,galaxy,19.906536,-58.713556,11.970,3.680,2.540,130.000,ic
